동아리명,공식사이트,해시태그,소속,동아리소개
원불교학생회,https://www.instagram.com/won_anam_temple/,"#마음공부, #명상, #mindfulness",종교분과,"고려대학교 원불교학생회는 일원의 진리를 바탕으로 진리적 종교의 신앙과 사실적 도덕의 훈련으로서 정신세력을 확장하여 참 나를 회복하고, 교화·연구·보은이란 3대 목표를 실천하고자 하는 동아리입니다. 다시 말해, 원불교동아리로서 마음공부를 통해 세상이 은혜로운 관계로 이어져 있음을 알고, 감사와 보은을 실천하며 각자의 마음에 여유를 찾고 지혜를 밝혀 행복한 삶을 만들어가자는 목적으로 만들어진 동아리입니다."
SFC,http://cafe.daum.net/KSU-SFC,"#학생신앙운동, #신앙고백공동체, #나눔",종교분과,"학생신앙운동'이라고 부르며, 캠퍼스 내에서 선한 영향력을 드러내기 위하는 종교동아리입니다. 바쁘고 지치는 일상 속에서 서로 돕고 의지하며 신앙생활이나 대학생활을 함께 합니다. 그리고 새로 오신 분들과 매우 잘 어울리며 잘 챙겨줍니다:) 특별히, 새내기에게는 1년동안 밥을 사주는 좋은 문화가 있습니다. (이는 선배들에게 부담이 되는 것이 아니라 동문 분들께서 지원비를 주셔서 새내기 밥약에 열심히 임하고 있습니다.)"
CCC,http://nh.kccc.org/index.html,#CCC #기독교동아리 #서울북CCC #사랑 #크리스천,종교분과,"CCC는 예수 그리스도의 사랑을 배우고 나누는 기독교 동아리입니다. CCC는 가족, 개방, 사랑, 열정, 연합의 동아리입니다. 매주 한번씩 모여 교재와 나눔을 하는 '가족' 순모임이 있습니다. CCC는 '언제나 모두에게 열려있는' 동아리입니다. 그리고 CCC에는 소중한 시간을 들여 가족 순모임과 개인 순모임 (멘터-멘티 만남)으로 '사랑'을 흘려보내는 선배들이 있습니다. 또한, CCC 선배들은 캠퍼스 내 다양한 활동에 적극적으로 참여하며 '열정'적으로 살아가고 있습니다. 마지막으로, 고려대 CCC는 서울 북지구에 속해 있는 6개 타 대학과 '연합'하여 동아리 활동을 하고 있습니다."
뇌의주름,https://www.facebook.com/sulkus,#보드게임 #취미 ,생활문화분과,"보드게임의 대학 문화화'라는 이름 아래 만들어진 동아리로, 보드게임을 좋아하고 즐기는 사람들이 모여서 서로 대화하고, 웃으면서 보드게임을 즐기는 동아리입니다. 동아리방이 좌식으로 이루어져 편안하게 머무를 수 있고, 동아리에는 양쪽 벽에 200개가 족히 넘는 보드게임들이 비치되어 있어서 사설 보드게임카페에 밀리지 않을 정도로 다양한 보드게임들을 갖추고 있습니다. 동아리가 상당히 자유로운 분위기를 지향하고 있고 실제로도 그렇기 때문에, 학과나 학번에 관계없이 많은 사람들이 자유롭게 동아리 활동을 즐기는 것이 장점이라고 할 수 있습니다."
ENM,https://jesusdisciples.000webhostapp.com,"#기독교, #제자훈련, #세계선교",종교분과,"ENM (Every Nation Mission)은 예수 그리스도를 본받고 나타내는 삶을 통하여 모든 민족을 향한 그리스도의 제자와 일꾼을 가르치고 훈련하는 동아리입니다. 정기적인 모임(매일성경QT나눔/북클럽/UP모임/주일모임)과 더불어, 개인적인 일정에 맞게 편안한 장소에서 멘토링을 받을 수 있습니다. 신앙적인 배움과 더불어 대학생활 가운데 전공공부, 대인관계, 가치관 등 다양한 삶의 질문으로 고민하는 모든 분들을 환영합니다. 신앙생활과 더불어 전반적인 삶을 멘토링 받을 수 있고, 재학기간 또 졸업한 이후에도 지속적으로 도움을 받고 함께 할 수 있는 동아리입니다."
돌빛,"https://www.instagram.com/dolbit1983/
https://www.youtube.com/channel/UCwJ5ZjwEXFFQWCrv2bthf3A",#영화#드라마#예술,전시창작분과,"영화를 만들고 영화를 보는, 영화를 좋아하는 사람들을 위한 동아리 / 학번에 상관없이 굉장히 자유로운 분위기에서 활동한다. 신입 동아리 부원을 위해 환영 파티를 한다. 매달, 생일파티를 개최한다. / 1. 영화 상영회 2. 방학 영화 제작 3. 시나리오, 촬영 스터디 4. 중간 MT 5. 영화 촬영을 위한 로케이션 탐방 겸 놀러가기"
고집,"https://www.instagram.com/kuhabitat13/
https://www.facebook.com/kuhabitat13","#집고치기, #건축봉사, #해비타트",사회분과,"‘고집’은 소외된 이웃들의 주거 환경을 개선하는 건축 봉사 동아리입니다. 고려대학교 동아리연합회에 소속된 중앙동아리이며, 또한 국제 비영리단체인 한국해비타트에 소속되어 ‘모든 사람에게 안락한 집이 있는 세상’을 만들겠다는 비전을 공유하고 있습니다. 매월 첫째주 토요일에 정기 집고치기 봉사가 있습니다. 코로나 상황을 고려하여 한국해비타트의 지침을 따라 사회적거리두기 단계에 따른 오프라인 활동의 진행여부를 결정합니다. 여름 방학 때는 해비타트 희망의 집짓기 행사에 참여합니다. 이 외에도 벽화 그리기, DIY 가구 만들기, 콘크리트 화분 만들기 등 다양한 봉사를 상시 진행합니다."
수호회,instagram.com/swimmingtiger_ku,"#Sports, #체육분과, #수영하는 호랑이, ",체육분과,"수호회는 수영을 취미로 삼고 있는, 혹은 삼고 싶은 사람들끼리 모여 함께하는 동아리입니다. 모든 활동은 완전 자율로 운영되기 때문에 편안한 마음으로 동아리에 참여하는 것이 가능합니다. 또한 수영을 하다가 잘 모르는 부분에 대해서는 서로 가르쳐주고 돕는 분위기가 형성되어있기 때문에, 수영을 잘 모르시는 분들도 얼마든지 참여 가능합니다. 정기 수영 이외에도 타학교와의 교류행사(ex. 정기 수영 고연전) 등 즐길 수 있는 다양한 기회가 마련되어 있고, 조금 더 전문적으로 하는 것에 관심있는 분들을 위해 단체 라이프가드 취득 등의 기회도 제공됩니다. "
고전기타부,https://www.youtube.com/user/kuguitarcom,#클래식기타 #고기부잡으로줌으로갈까요(랜선회식) #정기연주회,기악예술분과,"고전기타부는 말 그대로 클래식 기타를 다루는 동아리로서, 기타를 처음 접하는 분들께 레슨을 제공하고 정기적인 연주회를 열어 솔로, 듀엣, 트리오, 콰르텟 등의 중주나 합주와 같은 다양한 연주를 즐기고 있습니다. 1) 신입생 환영 연주회 :  매년 겨울방학에 준비해서 3월 무렵에 하는 고전기타부의 가장 큰 공연 중 하나입니다. 2) 정기 연주회 : 매년 여름방학에 연주해서 9월 초 무렵에 하는 고전기타부의 가장 큰 공연 중 하나입니다. 3) 살롱 : 매년 1학기와 2학기에 각각 1회씩 진행되는 소규모 공연입니다. "
KUSEP,https://www.instagram.com/kusep_1905/,#환경보호 #환경캠페인 #환경동아리,사회분과,"고려대 유일의 환경보호 동아리! 학술팀에서는 한학기당 3번의 세션을 통해 환경에 관련된 학술적 토론이 진행됩니다! 각 팀별로 원하는 주제를 선정하여 발표하고, 논의점에 대한 토의를 진행합니다. 또 공모전, 독서토론 등 다양한 활동을 함께 할 수 있습니다. 봉사팀에서는 교육봉사와 환경미화봉사를 진행합니다. 직접 교육안을 기획하여 교육기관 컨택을 진행한 뒤, 봉사를 진행하며, 환경미화봉사까지 함께 진행하고 있습니다. C&M팀은 캠페인 & 미디어 팀 답게, 교내외 환경관련 캠페인을 진행하며, 미디어를 통한 쿠셉의 홍보를 담당합니다! 쿠셉 인스타에 보시면 C&M팀에서 만든 다양한 카드뉴스를 확인할 수 있습니다!"
